,accuracys,unlearning time
0,0.8948018104512413,3.153808832168579
1,0.8942531888629818,8.047770500183105
2,0.8941160334659168,13.15370488166809
3,0.8941160334659168,18.238775491714478
4,0.8943903442600466,23.903899669647217
5,0.8946646550541764,29.161866426467896
6,0.8946646550541764,34.56741642951965
7,0.893978878068852,39.76766085624695
8,0.8948018104512413,44.90149736404419
9,0.8950761212453711,50.2125461101532
10,0.8946646550541764,55.36747717857361
11,0.8950761212453711,60.54462742805481
12,0.8954875874365656,65.36863350868225
13,0.8949389658483061,70.5425980091095
14,0.8946646550541764,75.46760416030884
15,0.8943903442600466,80.56883215904236
16,0.8937045672747223,85.88708853721619
17,0.8934302564805925,90.91791129112244
18,0.8927444794952681,95.90959644317627
19,0.8927444794952681,100.96271085739136
20,0.8923330133040736,106.17920732498169
21,0.8924701687011384,111.32231950759888
22,0.892881634892333,116.37431216239929
23,0.892881634892333,121.65272212028503
24,0.8926073240982033,126.83410930633545
25,0.8924701687011384,132.2915494441986
26,0.8923330133040736,137.9828565120697
27,0.8926073240982033,142.94215846061707
28,0.8920587025099438,148.37671399116516
29,0.8923330133040736,153.94352960586548
