,accuracys,unlearning time
0,0.7963676389653275,2.5766398906707764
1,0.7963676389653275,2.925642728805542
2,0.7963676389653275,3.2963685989379883
3,0.7963676389653275,3.575709104537964
4,0.7963676389653275,3.900413751602173
5,0.7960924600990644,4.219345331192017
6,0.7960924600990644,4.55573034286499
7,0.7960924600990644,4.827460050582886
8,0.7960924600990644,5.1063268184661865
9,0.7960924600990644,5.443089246749878
10,0.7960924600990644,5.785690069198608
11,0.7960924600990644,6.0828893184661865
12,0.7960924600990644,6.358281850814819
13,0.7960924600990644,6.632842063903809
14,0.7960924600990644,6.910656213760376
15,0.7956796917996698,7.228364706039429
16,0.7956796917996698,7.605190753936768
17,0.7956796917996698,7.918082237243652
18,0.7956796917996698,8.197046995162964
19,0.7956796917996698,8.51812481880188
20,0.7956796917996698,8.828375816345215
21,0.7956796917996698,9.14735460281372
22,0.7956796917996698,9.429996013641357
23,0.7955421023665382,9.747061252593994
24,0.7955421023665382,10.081171989440918
25,0.7955421023665382,10.455705404281616
26,0.7955421023665382,10.829243421554565
27,0.7955421023665382,11.117472648620605
28,0.7955421023665382,11.514079570770264
29,0.7955421023665382,11.86928677558899
